s_size,prop_e,prop_n,category,mae,mape,se_mae,se_mape,cover,mean_width,se_width,prop20,K,rmse,rmse_mcse,category_f,criteria,K_median,K_oneyear,K_timehorizon,K_rmstsample99,K_rmstpop99,criteria_f
30,0.1,0.638906667,median,468.7586628,0.509590645,8.342877229,0.009069597,0.9612,3201.038239,23.4153465,0.7152,5000,638.6721176,9.847540738,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.638906667,oneyear,0.089352342,0.117661566,0.001709971,0.002251736,0.9622,0.448271222,0.001766018,0.1158,5000,0.120901185,0.002272205,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.638906667,timehorizon,3094.526148,0.497952554,55.42887652,0.008919282,0.9614,21262.27345,155.2440835,0.7096,5000,4243.245701,65.42564449,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.638906667,rmstsample99,669.3151409,0.50905604,11.91586533,0.009062761,0.9366,3460.163559,25.08337449,0.7154,5000,911.8155318,14.06162733,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.638906667,rmstpop99,572.8001724,0.435650368,9.640421627,0.007332144,0.9584,2795.697116,9.450526968,0.7012,5000,728.4981649,8.867310139,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857593333,median,309.8662902,0.336857695,5.537744845,0.006020119,0.9594,1809.357884,9.857205383,0.6184,5000,405.5379484,5.857822253,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857593333,oneyear,0.066108989,0.087054094,0.00122913,0.001618552,0.9586,0.332606495,0.001133096,0.0598,5000,0.087007134,0.001511728,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857593333,timehorizon,2049.27663,0.329757282,36.79198036,0.005920344,0.9588,12014.07557,65.75609091,0.6156,5000,2694.335809,38.91852864,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857593333,rmstsample99,442.4655893,0.336522763,7.909384255,0.006015582,0.9374,2197.079012,11.93938891,0.6182,5000,578.9595644,8.362214331,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857593333,rmstpop99,401.3659082,0.305263884,6.964694918,0.005297086,0.9588,1997.907002,6.236648246,0.599,5000,505.5589314,6.304867902,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.968546667,median,247.2589712,0.268796864,4.42436009,0.004809751,0.9544,1367.392829,6.234238921,0.547,5000,318.6921511,4.406324229,median,Exponential,NA,NA,NA,NA,NA,Exponential
